Date,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
04-12,791,17,,774,31.0,51.85960275,10691.0,,2.149178255,84000031,USA,700.924163,
04-13,814,17,,797.0,31.0,53.36753051259054,10972.0,,2.0884520884520885,84000031,USA,719.3471066144267,
04-14,897,20,,877.0,31.0,58.80918289,11357.0,,2.229654404,84000031,USA,744.5885062000001,
04-15,901,20,,881.0,31.0,59.071431193911636,11729.0,,2.2197558268590454,84000031,USA,768.9775987496,
04-16,952,21,,931.0,31.0,62.41509711054815,12294.0,,2.2058823529411766,84000031,USA,806.0201721397888,
04-17,1066,24,,1042.0,31.0,69.8891738653827,13104.0,,2.25140712945591,84000031,USA,859.1254543451922,
04-18,1249,24,,1225.0,31.0,81.88703391919606,13677.0,,1.9215372297838271,84000031,USA,896.6925243497552,
04-19,1474,28,,1446.0,31.0,96.63850119847477,14575.0,,1.899592944369064,84000031,USA,955.5672693132767,
04-20,1648,33,,1615.0,31.0,108.04630256111696,15680.0,,2.0024271844660197,84000031,USA,1028.0133641737345,
04-21,1685,33,,1652.0,31.0,110.47209940259836,16372.0,,1.9584569732937684,84000031,USA,1073.3823213171158,
04-22,1813,38,,1775.0,31.0,118.86404523258804,16679.0,,2.095973524544953,84000031,USA,1093.5098788937316,
04-23,2202,47,,2155.0,31.0,144.367693106541,17360.0,,2.1344232515894643,84000031,USA,1138.1576531923486,
04-24,2424,50,,2374.0,31.0,158.9224741554293,19973.0,,2.0627062706270634,84000031,USA,1309.471359862372,
04-25,2719,50,,2669.0,31.0,178.26328681048363,19973.0,,1.8389113644722324,84000031,USA,1309.471359862372,
04-26,3028,56,,2972.0,31.0,198.52196854069308,21228.0,,1.8494055482166447,84000031,USA,1391.7517662423486,
04-27,3358,56,,3302.0,31.0,220.15745388363518,22363.0,,1.6676593210244193,84000031,USA,1466.1647234067104,
04-28,3517,56,,3461.0,31.0,230.5818240943255,23605.0,,1.592266135911288,84000031,USA,1547.592822788329,
04-29,3851,56,,3795.0,31.0,252.47955774445475,23631.0,,1.4541677486367175,84000031,USA,1549.2974367850454,
04-30,4281,70,0,4211.0,31,280.6712507670763,25321.0,,1.635131978509694,84000031,USA,1660.0973465716281,
05-01,5008,73,0,4935.0,31,328.33488059834576,27385.0,,1.4576677316293931,84000031,USA,1795.4174730802113,
05-02,5317,73,0,5244.0,31,348.5935623285552,29348.0,,1.37295467368817,84000031,USA,1924.1158298323185,
05-03,5661,78,0,5583.0,31,371.1469167466524,31262.0,,1.3778484366719657,84000031,USA,2049.6016448213827,
05-04,6037,78,0,5959.0,31,395.7982576222471,33754.0,,1.2920324664568494,84000031,USA,2212.9823401989943,
05-05,6373,78,,6295.0,31,417.82711542596985,34609.0,,1.2239133845912442,84000031,USA,2269.037915860253,
05-06,6689,78,,6611.0,31,438.54473169375694,36128.0,,1.1660935864852744,84000031,USA,2368.6267105145835,
05-07,7334,91,,7243.0,31,480.8322712276892,37758.0,,1.2407962912462502,84000031,USA,2475.4928956933577,
05-08,7818,90,,7728.0,31,512.5643163973376,40412.0,,1.1511895625479662,84000031,USA,2649.4946475120505,
05-09,8093,90,,8003.0,31,530.5938875164561,42976.0,,1.1120721611268998,84000031,USA,2817.5958124190306,
05-10,8171,90,,8081.0,31,535.707729506606,45569.0,,1.1014563700893405,84000031,USA,2987.5982775531184,
05-11,8407,98,,8309.0,31,551.1803796306493,46239.0,,1.1656952539550374,84000031,USA,3031.5248690069707,
05-12,8532,100,,8432.0,31,559.3756392302488,47943.0,,1.1720581340834506,84000031,USA,3143.242647868708,
05-13,8912,103,,8809.0,31,584.2892284130306,49725.0,,1.1557450628366248,84000031,USA,3260.0742687205952,
05-14,9260,103,,9157.0,31,478.6994263878148,53341.0,,1.1123110151187905,84000031,USA,2757.484460362033,
05-15,9610,113,,9497.0,31,496.7928172340065,57215.0,,1.1758584807492196,84000031,USA,2957.752449328167,
05-16,10220,123,,10097.0,31,528.3270127087977,59978.0,,1.203522504892368,84000031,USA,3100.586846208246,
05-17,10177,123,,10054.0,31,526.104110404837,65640.0,,1.2086076446890046,84000031,USA,3393.2862146972093,
05-18,10625,123,,10502.0,31,549.2636506879625,67501.0,,1.1576470588235297,84000031,USA,3489.491358596532,
05-19,10854,123,,10731.0,31,561.1018978416134,69984.0,,1.1332227750138195,84000031,USA,3617.8510427996575,
05-20,11122,138,,10984.0,31,574.9562656895546,72135.0,,1.2407840316489842,84000031,USA,3729.04785340011,
05-21,11427,138,,11289.0,31,590.7233634269502,75640.0,,1.2076660540824364,84000031,USA,3910.240238874116,
05-22,11662,147,,11515.0,31,602.8717829951075,78419.0,,1.2605042016806722,84000031,USA,4053.9017621928774,
05-23,11963,147,,11816.0,31,618.4320991228324,79982.0,,1.2287887653598597,84000031,USA,4134.701676171728,
05-24,12134,147,,11987.0,31,627.2720129362575,83205.0,,1.2114718971485083,84000031,USA,4301.315958163945,
05-25,12362,147,,12215.0,31,639.058564687491,85732.0,,1.1891279728199322,84000031,USA,4431.950240073449,
05-26,12619,147,,12472.0,31,652.3442831088373,88042.0,,1.1649100562643633,84000031,USA,4551.366619658314,
05-27,12984,153,,12831.0,31,671.2131049912945,90421.0,,1.1783733826247689,84000031,USA,4674.34998201,
05-28,13249,163,,13086.0,31,684.9123866319825,92980.0,,1.2302815306815609,84000031,USA,4806.63851679687,
05-29,13648,164,,13484.0,31,705.5388521966411,94803.0,,1.201641266119578,84000031,USA,4900.87923540432,
05-30,13905,170,,13735.0,31,718.8245706179875,99008.0,,1.2225818051060773,84000031,USA,5118.258402570709,
05-31,14101,170,,13931.0,31,728.9568694918547,101142.0,,1.205588256152046,84000031,USA,5228.576391330061,
06-01,14345,170,,14175.0,31,741.5705476817714,103665.0,,1.1850819100731962,84000031,USA,5359.003891629894,
06-02,14616,170,,14446.0,31,755.5800017369655,106418.0,,1.1631089217296111,84000031,USA,5501.321334485796,
06-03,14885,170,6743.0,7972.0,31,769.4860649873242,109966.0,851.0,1.1420893516963386,84000031,USA,5684.736622263762,5.71716493113873
06-04,15139,187,7005.0,7947.0,31,782.6166972014177,112255.0,902.0,1.23522029196116,84000031,USA,5803.067398397857,5.958121408283242
06-05,15406,187,7598.0,7621.0,31,796.419369646941,114822.0,905.0,1.213812800207711,84000031,USA,5935.769496404068,5.874334674802026
06-06,15572,187,7957.0,7428.0,31,805.0008064482778,117547.0,919.0,1.2008733624454149,84000031,USA,6076.639467992275,5.901618289237093
06-07,15664,187,8255.0,7222.0,31,809.7567834707053,119769.0,928.0,1.1938202247191012,84000031,USA,6191.506652164384,5.9244126659857
06-08,15786,188,8455.0,7143.0,31,816.0636225656634,121407.0,935.0,1.190928670974281,84000031,USA,6276.183721324561,5.922969720005067
06-09,15918,189,8637.0,7092.0,31,822.8874156847986,122692.0,967.0,1.1873350923482848,84000031,USA,6342.612313431293,6.074883779369268
06-10,16058,191,8820.0,7047.0,31,830.1247720232753,125162.0,989.0,1.1894382862124795,84000031,USA,6470.299957402988,6.158923900859384
06-11,16315,212,8946.0,7157,31,843.4104904446217,127662.0,1000.0,1.299417713760343,84000031,USA,6599.538463447216,6.129328838492185
06-12,16522,215,9229.0,7078.0,31,854.1114387450838,130773.0,1029.0,1.3012952427066942,84000031,USA,6760.36286036865,6.228059556954364
06-13,16640,215,9610.0,6815.0,31,860.2114962303713,134377.0,1067.0,1.2920673076923077,84000031,USA,6946.673090682007,6.412259615384616
06-14,16730,215,9879.0,6636.0,31,864.8640824479634,136115.0,1070.0,1.2851165570830845,84000031,USA,7036.5197000839535,6.3956963538553495
06-15,16851,220,10121.0,6510.0,31,871.119226140504,137755.0,1075.0,1.3055605008604831,84000031,USA,7121.300160048966,6.379443356477362
06-16,17038,231,10351.0,6456.0,31,880.7862663926121,139513.0,1088.0,1.3557929334428924,84000031,USA,7212.1806774992665,6.385726024181242
06-17,17231,234,10529.0,6468.0,31,890.7634790592264,142387.0,1116.0,1.3580175265509835,84000031,USA,7360.7532640477075,6.476698972781612
06-18,17414,239,10761.0,6414.0,31,900.2237377016638,144813.0,1141.0,1.3724589410818882,84000031,USA,7486.166310313026,6.552199379809348
06-19,17588,244,11066.0,6278.0,31,909.2187377223421,147846.0,1166.0,1.3873095292244713,84000031,USA,7642.9584658458825,6.629520127359562
06-20,17707,244,11312.0,6151.0,31,915.3704906100473,151854.0,1200.0,1.3779861071892472,84000031,USA,7850.1536387359865,6.776980855029085
06-21,17812,244,11565.0,6003.0,31,920.7985078639048,154241.0,1212.0,1.3698630136986298,84000031,USA,7973.550564307013,6.804401527060409
06-22,17963,249,11776.0,5938.0,31,928.6045136289757,156508.0,1212.0,1.3861827089016312,84000031,USA,8090.744041587917,6.747202583087457
06-23,18099,256,11980.0,5863.0,31,935.6350883577817,158642.0,1234.0,1.4144427868943037,84000031,USA,8201.06203034727,6.818056246201447
06-24,18221,257,12099.0,5865.0,31,941.9419274527401,161301.0,1257.0,1.4104604577136268,84000031,USA,8338.520105375908,6.898633444926183
06-25,18346,260,12099.0,5987.0,31,948.4038527549513,163170.0,1268.0,1.4172026599803769,84000031,USA,8435.138812494572,6.911588357135071
06-26,18524,266,12314.0,5944.0,31,957.6056343853004,165002.0,1294.0,1.4359749514143814,84000031,USA,8529.844789723782,6.985532282444397
06-27,18775,267,12698.0,5810.0,31,970.5811803921407,168598.0,1312.0,1.422103861517976,84000031,USA,8715.741456817796,6.9880159786950715
06-28,18899,267,13053.0,5579.0,31,976.9914102919342,172798.0,1315.0,1.4127731626011961,84000031,USA,8932.862146972097,6.958040107942219
06-29,19042,269,13322.0,5451.0,31,984.383852837664,175272.0,1316.0,1.4126667366873231,84000031.0,USA,9060.756572553464,6.911038756433147
06-30,19177,274,13547.0,5356.0,31,991.3627321640523,178157.0,1330.0,1.4287949105699536,84000031,USA,9209.8978085285,6.935391354226417
07-01,19310,276,13737.0,5297.0,31,998.2382206856054,180608.0,1330.0,1.4293112377006731,84000031,USA,9336.603239854261,6.887622993267738
