Date,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
04-12,24244,1479,433.0,22765,26.0,304.2953668,79437.0,3636.0,6.100478469,84000026,USA,997.0430232000001,14.99752516
04-13,25635,1602,447.0,24033.0,26.0,321.7543197729608,82644.0,3986.0,6.249268578115858,84000026,USA,1037.2952605155676,15.549054027696506
04-14,27001,1768,452.0,25233.0,26.0,338.89948849999996,86226.0,3910.0,6.547905632999999,84000026,USA,1082.254261,14.48094515
04-15,28059,1921,452.0,26138.0,26.0,352.17883590830917,89697.0,3918.0,6.846288178481058,84000026,USA,1125.8200593202755,13.963434192237784
04-16,28809,1996,617.0,26813.0,26.0,361.5923619402858,94286.0,3809.0,6.928390433545072,84000026,USA,1183.4182872679296,13.221562706098787
04-17,30023,2227,629.0,27796.0,26.0,376.8297227440453,98959.0,3674.0,7.4176464710388705,84000026,USA,1242.0708301311654,12.23728474835959
04-18,30791,2308,3237.0,28483.0,26.0,386.46917340078943,99727.0,3634.0,7.49569679451788,84000026,USA,1251.7102807879096,11.802149978889934
04-19,31424,2391,3237.0,29033.0,26.0,394.41418937177775,109661.0,3403.0,7.608834012219959,84000026,USA,1376.3955709234506,10.829302443991851
04-20,32000,2468,3237.0,29532.0,26.0,401.64377736433573,113798.0,3374.0,7.7125,84000026,USA,1428.3205805158334,10.54375
04-21,32667,2575,3237.0,30092.0,26.0,410.01553984877364,117226.0,3357.0,7.882572626809932,84000026,USA,1471.346670165988,10.276425750757646
04-22,33966,2813,3237.0,31153.0,26.0,426.31976693615707,118225.0,3305.0,8.281811222987692,84000026,USA,1483.8854868405808,9.730318553847962
04-23,35296,2977,3237.0,32319.0,26.0,443.01308643286234,128321.0,3611.0,8.43438349954669,84000026,USA,1610.604098599029,10.230621033544876
04-24,36641,3085,3237.0,33556.0,26.0,459.89467645020704,136296.0,3022.0,8.419530034660626,84000026,USA,1710.7012587390466,8.247591495865287
04-25,37074,3155,8342.0,33919.0,26.0,465.32941881266817,144044.0,2889.0,8.510007013001024,84000026,USA,1807.9492583333868,7.79252306198414
04-26,37778,3315,8342.0,34463.0,26.0,474.1655819146836,193879.0,2757.0,8.774948382656572,84000026,USA,2433.4466847381264,7.297898247657367
04-27,38210,3407,8342.0,34803.0,26.0,479.5877729091021,157760.0,2667.0,8.91651400157027,84000026,USA,1980.1038224061751,6.979848207275583
04-28,39262,3568,8342.0,35694.0,26.0,492.7918120899546,164805.0,,9.087667464724161,84000026,USA,2068.528210266542,
